category,scientific_name,common_names,conservation_status
Bird,Anas discors,Blue-Winged Teal,
Bird,Anas platyrhynchos,Mallard,
Bird,Anas rubripes,American Black Duck,
Bird,Aythya affinis,Lesser Scaup,Species of Concern
Bird,Aythya americana,Redhead,
Bird,Aythya collaris,Ring-Necked Duck,
Bird,Branta bernicla,Brant,
Bird,Branta canadensis,Canada Goose,
Bird,Bucephala albeola,Bufflehead,
Bird,Bucephala clangula,Common Goldeneye,
Bird,Chen caerulescens,Snow Goose,
Bird,Histrionicus histrionicus,Harlequin Duck,
Bird,Lophodytes cucullatus,Hooded Merganser,
Bird,Melanitta deglandi,White-Winged Scoter,
Bird,Melanitta fusca,White-Winged Scoter,
Bird,Melanitta nigra,Black Scoter,
Bird,Mergus merganser,Common Merganser,
Bird,Mergus serrator,Red-Breasted Merganser,
Bird,Oxyura jamaicensis,Ruddy Duck,
Bird,Chaetura pelagica,Chimney Swift,
Bird,Archilochus colubris,Ruby-Throated Hummingbird,
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,
Bird,Caprimulgus vociferus,Whip-Poor-Will,
Bird,Chordeiles minor,Common Nighthawk,
Bird,Charadrius semipalmatus,Semipalmated Plover,
Bird,Charadrius vociferus,Killdeer,
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",
Bird,Chlidonias niger,Black Tern,Species of Concern
Bird,Larus argentatis,Herring Gull,
Bird,Larus atricilla,Laughing Gull,Species of Concern
Bird,Larus delawarensis,Ring-Billed Gull,
Bird,Larus philadelphia,Bonaparte's Gull,
Bird,Sterna fuscata,Sooty Tern,
Bird,Actitis macularia,Spotted Sandpiper,
Bird,Calidris minutilla,Least Sandpiper,
Bird,Calidris pusilla,Semipalmated Sandpiper,
Bird,Catoptrophorus semipalmatus,Willet,
Bird,Gallinago gallinago,Common Snipe,
Bird,Limnodromus griseus,Short-Billed Dowitcher,
Bird,Phalaropus fulicarius,Red Phalarope,
Bird,Phalaropus lobatus,Red-Necked Phalarope,
Bird,Philomachus pugnax,Ruff,
Bird,Scolopax minor,American Woodcock,
Bird,Tringa flavipes,Lesser Yellowlegs,
Bird,Tringa melanoleuca,Greater Yellowlegs,
Bird,Tringa solitaria,Solitary Sandpiper,
Bird,Columba livia,Rock Dove,
Bird,Ectopistes migratorius,Passenger Pigeon,
Bird,Zenaida macroura,Mourning Dove,
Bird,Ceryle alcyon,Belted Kingfisher,
Bird,Ceryle torquata,Ringed Kingfisher,
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
Bird,Falco columbarius,Merlin,Species of Concern
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
Bird,Falco sparverius,American Kestrel,
Bird,Colinus virginianus,Northern Bobwhite,
Bird,Alectoris chukar,Chukar,
Bird,Bonasa umbellus,Ruffed Grouse,
Bird,Meleagris gallopavo,Wild Turkey,
Bird,Pavo cristatus,Peacock,
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",
Bird,Gavia immer,Common Loon,Species of Concern
Bird,Grus americana,Whooping Crane,Endangered
Bird,Grus canadensis,Sandhill Crane,
Bird,Fulica americana,American Coot,
Bird,Gallinula chloropus,Common Moorhen,
Bird,Porzana carolina,Sora,
Bird,Rallus elegans,King Rail,Species of Concern
Bird,Rallus limicola,Virginia Rail,
Bird,Eremophila alpestris,Horned Lark,
Bird,Bombycilla cedrorum,Cedar Waxwing,
Bird,Calcarius ornatus,Chestnut-Collared Longspur,
Bird,Plectrophenax nivalis,Snow Bunting,
Bird,Cardinalis cardinalis,Northern Cardinal,
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
Bird,Passerina cyanea,Indigo Bunting,
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,
Bird,Piranga olivacea,Scarlet Tanager,
Bird,Piranga rubra,Summer Tanager,Species of Concern
Bird,Spiza americana,Dickcissel,
Bird,Certhia americana,Brown Creeper,Species of Concern
Bird,Certhia familiaris,Eurasian Treecreeper,
Bird,Corvus brachyrhynchos,American Crow,
Bird,Corvus corax,Common Raven,
Bird,Cyanocitta cristata,Blue Jay,
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
Bird,Ammodramus henslowii,Henslow's Sparrow,
Bird,Ammodramus leconteii,Le Conte's Sparrow,
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
Bird,Chondestes grammacus,Lark Sparrow,
Bird,Junco hyemalis,Dark-Eyed Junco,
Bird,Melospiza georgiana,Swamp Sparrow,
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
Bird,Melospiza melodia,Song Sparrow,
Bird,Passerculus sandwichensis,Savannah Sparrow,
Bird,Passerella iliaca,Fox Sparrow,
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",
Bird,Pooecetes gramineus,Vesper Sparrow,
Bird,Spizella arborea,American Tree Sparrow,
Bird,Spizella passerina,Chipping Sparrow,
Bird,Spizella pusilla,Field Sparrow,
Bird,Zonotrichia albicollis,White-Throated Sparrow,
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,
Bird,Carduelis flammea,Common Redpoll,
Bird,Carduelis pinus,Pine Siskin,
Bird,Carduelis tristis,American Goldfinch,
Bird,Carpodacus mexicanus,House Finch,
Bird,Carpodacus purpureus,Purple Finch,
Bird,Coccothraustes vespertinus,Evening Grosbeak,
Bird,Loxia curvirostra,Red Crossbill,Species of Concern
Bird,Loxia leucoptera,White-Winged Crossbill,
Bird,Hirundo rustica,Barn Swallow,
Bird,Petrochelidon pyrrhonota,Cliff Swallow,
Bird,Progne subis,Purple Martin,Species of Concern
Bird,Riparia riparia,Bank Swallow,Species of Concern
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
Bird,Agelaius phoeniceus,Red-Winged Blackbird,
Bird,Dolichonyx oryzivorus,Bobolink,
Bird,Euphagus carolinus,Rusty Blackbird,
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",
Bird,Icterus spurius,Orchard Oriole,
Bird,Molothrus ater,Brown-Headed Cowbird,
Bird,Quiscalus quiscula,Common Grackle,
Bird,Sturnella magna,Eastern Meadowlark,
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
Bird,Dumetella carolinensis,Gray Catbird,
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",
Bird,Toxostoma rufum,Brown Thrasher,
Bird,Anthus rubescens,Water Pipit,
Bird,Anthus spinoletta,Water Pipit,
Bird,Baeolophus bicolor,Tufted Titmouse,
Bird,Poecile atricapillus,Black-Capped Chickadee,
Bird,Poecile carolinensis,Carolina Chickadee,
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,
Bird,Dendroica castanea,Bay-Breasted Warbler,
Bird,Dendroica cerulea,Cerulean Warbler,
Bird,Dendroica coronata,Yellow-Rumped Warbler,
Bird,Dendroica discolor,Prairie Warbler,
Bird,Dendroica dominica,Yellow-Throated Warbler,
Bird,Dendroica fusca,Blackburnian Warbler,
Bird,Dendroica magnolia,Magnolia Warbler,
Bird,Dendroica palmarum,Palm Warbler,
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,
Bird,Dendroica petechia,Yellow Warbler,
Bird,Dendroica pinus,Pine Warbler,
Bird,Dendroica striata,Blackpoll Warbler,
Bird,Dendroica tigrina,Cape May Warbler,
Bird,Dendroica virens,Black-Throated Green Warbler,
Bird,Geothlypis trichas,Common Yellowthroat,
Bird,Helmitheros vermivorus,Worm-Eating Warbler,
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
Bird,Limnothlypis swainsonii,Swainson's Warbler,
Bird,Mniotilta varia,Black-And-White Warbler,
Bird,Oporornis agilis,Connecticut Warbler,
Bird,Oporornis formosus,Kentucky Warbler,
Bird,Oporornis philadelphia,Mourning Warbler,
Bird,Parula americana,Northern Parula,
Bird,Protonotaria citrea,Prothonotary Warbler,
Bird,Seiurus aurocapilla,Ovenbird,
Bird,Seiurus motacilla,Louisiana Waterthrush,
Bird,Seiurus noveboracensis,Northern Waterthrush,
Bird,Setophaga ruticilla,American Redstart,
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered
Bird,Vermivora celata,Orange-Crowned Warbler,
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,
Bird,Vermivora lawrencei,Lawrence's Warbler,
Bird,Vermivora lawrencii,Lawrence's Warbler,
Bird,Vermivora leucobronchialis,Brewster's Warbler,
Bird,Vermivora peregrina,Tennessee Warbler,
Bird,Vermivora pinus,Blue-Winged Warbler,
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
Bird,Wilsonia canadensis,Canada Warbler,
Bird,Wilsonia citrina,Hooded Warbler,
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
Bird,Passer domesticus,House Sparrow,
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,
Bird,Regulus calendula,Ruby-Crowned Kinglet,
Bird,Regulus satrapa,Golden-Crowned Kinglet,
Bird,Sitta canadensis,Red-Breasted Nuthatch,
Bird,Sitta carolinensis,White-Breasted Nuthatch,
Bird,Sturnus vulgaris,European Starling,
Bird,Cistothorus palustris,Marsh Wren,
Bird,Cistothorus platensis,Sedge Wren,
Bird,Thryomanes bewickii,Bewick's Wren,
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
Bird,Thryothorus ludovicianus,Carolina Wren,
Bird,Troglodytes aedon,House Wren,
Bird,Troglodytes troglodytes,Winter Wren,
Bird,Catharus fuscescens,Veery,
Bird,Catharus guttatus,Hermit Thrush,
Bird,Catharus minimus,Gray-Cheeked Thrush,
Bird,Catharus ustulatus,Swainson's Thrush,
Bird,Hylocichla mustelina,Wood Thrush,
Bird,Sialia sialis,Eastern Bluebird,
Bird,Turdus migratorius,American Robin,
Bird,Contopus borealis,Olive-Sided Flycatcher,
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
Bird,Contopus virens,Eastern Wood-Pewee,
Bird,Empidonax alnorum,Alder Flycatcher,
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,
Bird,Empidonax minimus,Least Flycatcher,
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
Bird,Empidonax virescens,Acadian Flycatcher,
Bird,Myiarchus crinitus,Great Crested Flycatcher,
Bird,Sayornis phoebe,Eastern Phoebe,
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,
Bird,Tyrannus tyrannus,Eastern Kingbird,
Bird,Tyrannus verticalis,Western Kingbird,
Bird,Vireo flavifrons,Yellow-Throated Vireo,
Bird,Vireo gilvus,Warbling Vireo,
Bird,Vireo griseus,White-Eyed Vireo,
Bird,Vireo olivaceus,Red-Eyed Vireo,
Bird,Vireo philadelphicus,Philadelphia Vireo,
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",
Bird,Ardea alba,Great Egret,
Bird,Ardea albus,Great Egret,
Bird,Ardea herodias,Great Blue Heron,Species of Concern
Bird,Botaurus lentiginosus,American Bittern,Species of Concern
Bird,Butorides virescens,Green-Backed Heron,
Bird,Egretta caerulea,Little Blue Heron,
Bird,Ixobrychus exilis,Least Bittern,
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
Bird,Colaptes auratus,Northern Flicker,
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
Bird,Picoides villosus,Hairy Woodpecker,
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
Bird,Podiceps auritus,Horned Grebe,
Bird,Podilymbus podiceps,Pied-Billed Grebe,
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,
Bird,Aegolius,Saw-Whet Owls,
Bird,Aegolius acadicus,Northern Saw-Whet Owl,
Bird,Asio flammeus,Short-Eared Owl,Species of Concern
Bird,Asio otus,Long-Eared Owl,Species of Concern
Bird,Bubo virginianus,Great Horned Owl,
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",
Bird,Otus asio,Eastern Screech-Owl,
Bird,Strix varia,Barred Owl,
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",
Bird,Tytonidae,Barn-Owls,
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,
Reptile,Carphophis,"Worm Snakes, Wormsnakes",
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,
Reptile,Coluber constrictor constrictor,Northern Black Racer,
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,
Reptile,Elaphe guttata guttata,Corn Snake,
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,
Reptile,Heterodon platirhinos,Eastern Hognose Snake,
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,
Reptile,Lampropeltis getula getula,Eastern Kingsnake,
Reptile,Lampropeltis getula nigra,Black Kingsnake,
Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,
Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,
Reptile,Nerodia erythrogaster,Plainbelly Water Snake,
Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Water Snake, Yellowbelly Watersnake",
Reptile,Nerodia sipedon sipedon,Northern Water Snake,
Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,
Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
Reptile,Regina septemvittata,Queen Snake,Species of Concern
Reptile,Storeria dekayi dekayi,Northern Brown Snake,
Reptile,Storeria dekayi wrightorum,Midland Brown Snake,
Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,
Reptile,Tantilla coronata,Southeastern Crowned Snake,
Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,
Reptile,Virginia valeriae valeriae,Eastern Earth Snake,
Reptile,Anolis carolinensis carolinensis,Northern Green Anole,
Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,
Reptile,Eumeces anthracinus,Coal Skink,
Reptile,Eumeces fasciatus,Five-Lined Skink,
Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,
Reptile,Eumeces laticeps,Broadhead Skink,
Reptile,Scincella lateralis,Ground Skink,
Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,
Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,
Reptile,Crotalus horridus,Timber Rattlesnake,
Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,
Reptile,Chrysemys picta marginata,Midland Painted Turtle,
Reptile,Chrysemys picta picta,Eastern Painted Turtle,
Reptile,Clemmys muhlenbergii,Bog Turtle,
Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",
Reptile,Graptemys ouachitensis,Ouachita Map Turtle,
Reptile,Terrapene carolina carolina,Eastern Box Turtle,
Reptile,Trachemys scripta,Slider,
Reptile,Trachemys scripta troostii,Cumberland Slider,
Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",
Reptile,Sternotherus odoratus,Common Musk Turtle,
Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",
Amphibian,Bufo americanus americanus,Eastern American Toad,
Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,
Amphibian,Hyla chrysoscelis,Cope's Gray Treefrog,
Amphibian,Hyla versicolor,Gray Treefrog,
Amphibian,Pseudacris brachyphona,Mountain Chorus Frog,
Amphibian,Pseudacris crucifer crucifer,Northern Spring Peeper,
Amphibian,Pseudacris feriarum feriarum,Upland Chorus Frog,
Amphibian,Pseudacris triseriata,"Striped Chorus Frog, Western Chorus Frog",
Amphibian,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,
Amphibian,Rana catesbeiana,American Bullfrog,
Amphibian,Rana clamitans melanota,Northern Green Frog,
Amphibian,Rana palustris,Pickerel Frog,
Amphibian,Rana pipiens,Northern Leopard Frog,
Amphibian,Rana sphenocephala,Southern Leopard Frog,
Amphibian,Rana sylvatica,Wood Frog,
Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,
Amphibian,Ambystoma maculatum,Spotted Salamander,
Amphibian,Ambystoma opacum,Marbled Salamander,
Amphibian,Ambystoma talpoideum,Mole Salamander,
Amphibian,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Species of Concern
Amphibian,Desmognathus conanti,Spotted Dusky Salamander,
Amphibian,Desmognathus imitator,Imitator Salamander,
Amphibian,Desmognathus marmoratus,Shovel-Nosed Salamander,
Amphibian,Desmognathus monticola,Seal Salamander,
Amphibian,Desmognathus ocoee,Ocoee Salamander,
Amphibian,Desmognathus quadramaculatus,Black-Bellied Salamander,
Amphibian,Desmognathus santeetlah,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",
Amphibian,Desmognathus wrighti,Pigmy Salamander,Species of Concern
Amphibian,Eurycea,Brook Salamanders,
Amphibian,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",
Amphibian,Eurycea cirrigera,Southern Two-Lined Salamander,
Amphibian,Eurycea guttolineata,Three-Lined Salamander,
Amphibian,Eurycea junaluska,Junaluska Salamander,
Amphibian,Eurycea longicauda longicauda,Longtail Salamander,
Amphibian,Eurycea lucifuga,Cave Salamander,
Amphibian,Eurycea wilderae,Blue Ridge Two-Lined Salamander,
Amphibian,Gyrinophilus porphyriticus,Spring Salamander,
Amphibian,Hemidactylium scutatum,Four-Toed Salamander,
Amphibian,Plethodon,Woodland Salamanders,
Amphibian,Plethodon aureolus,Tellico Salamander,
Amphibian,Plethodon cinereus,"Eastern Red-Backed Salamander, Redback Salamander",
Amphibian,Plethodon dorsalis,Northern Zigzag Salamander,
Amphibian,Plethodon glutinosus,Snorthern Slimy Salamander,
Amphibian,Plethodon jordani,"Appalachian Salamander, Jordan's Salamander",
Amphibian,Plethodon metcalfi,Southern Gray-Cheeked Salamander,
Amphibian,Plethodon oconaluftee,Southern Appalachian Salamander,
Amphibian,Plethodon serratus,Southern Red-Backed Salamander,
Amphibian,Plethodon ventralis,Southern Zigzag Salamander,
Amphibian,Plethodon websteri,Webster's Salamander,
Amphibian,Pseudotriton,"Mud Salamanders, Red Salamanders, Red Salamanders &Amp; Mud Salamanders",
Amphibian,Pseudotriton montanus,Mud Salamander,
Amphibian,Pseudotriton montanus diastictus,Midland Mud Salamander,
Amphibian,Pseudotriton montanus montanus,Eastern Mud Salamander,
Amphibian,Pseudotriton ruber nitidus,Blue Ridge Red Salamander,
Amphibian,Pseudotriton ruber ruber,Northern Red Salamander,
Amphibian,Pseudotriton ruber schencki,Blackchin Red Salamander,
Amphibian,Necturus maculosus maculosus,Mudpuppy,
Amphibian,Notophthalmus viridescens viridescens,Eastern Red-Spotted Newt,
Fish,Labidesthes sicculus,Brook Silverside,
Fish,Dorosoma cepedianum,Gizzard Shad,
Fish,Catostomus commersoni,White Sucker,
Fish,Hypentelium nigricans,Northern Hog Sucker,
Fish,Moxostoma carinatum,River Redhorse,
Fish,Moxostoma duquesnei,Black Redhorse,
Fish,Moxostoma erythrurum,Golden Redhorse,
Fish,Moxostoma macrolepidotum,Shorthead Redhorse,
Fish,Campostoma anomalum,Central Stoneroller,
Fish,Campostoma oligolepis,Largescale Stoneroller,
Fish,Carassius auratus,Goldfish,
Fish,Clinostomus funduloides,Rosyside Dace,
Fish,Clinostomus sp. 1,Smoky Dace,
Fish,Cyprinella galactura,Whitetail Shiner,
Fish,Cyprinella galacturus,Whitetail Shiner,
Fish,Cyprinella spiloptera,Spotfin Shiner,
Fish,Cyprinella spilopterus,Spotfin Shiner,
Fish,Cyprinella venusta,Blacktail Shiner,
Fish,Cyprinella venustus,Blacktail Shiner,
Fish,Cyprinus carpio,Common Carp,
Fish,Erimonax monachus,Spotfin Chub,Threatened
Fish,Hemitremia flammea,Flame Chub,Species of Concern
Fish,Hybopsis amblops,Bigeye Chub,
Fish,Luxilus chrysocephalus,Striped Shiner,
Fish,Luxilus coccogenis,Warpaint Shiner,
Fish,Luxilus cornutus,Common Shiner,
Fish,Lythrurus lirus,Mountain Shiner,
Fish,Nocomis micropogon,River Chub,
Fish,Notropis atherinoides,Emerald Shiner,
Fish,Notropis baileyi,Rough Shiner,
Fish,Notropis leuciodus,Tennessee Shiner,
Fish,Notropis photogenis,Silver Shiner,
Fish,Notropis rubellus,Rosyface Shiner,
Fish,Notropis rubricroceus,Saffron Shiner,
